,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,cycles,instructions
0,42679,5471115,6254879,201948,11174,1040109,215,46282,5232678,32447,341221595,355580960
1,3068636,3250491,3836183,149740,8813,467617,1221,1108519,2489267,3177472,344065269,453163972
2,5764053,165582,545545,189627,3907,8277,1663,19764,121353,5767378,344300148,586427087
3,5731303,187893,565182,187412,10757,8473,1686,28400,122824,5738282,344407876,580266005
4,5668644,197603,581733,185896,17505,8573,1762,31206,121603,5665032,344425512,580819756
5,5674724,209853,594657,184694,25187,8560,1670,34305,125144,5681829,344612955,578322356
6,5650629,223449,603791,185657,30189,8527,1962,36900,123821,5665837,344451762,575295422
7,5583428,268992,607974,183463,33547,8532,1738,55430,119404,5566894,344440749,567707955
8,5584646,266159,616647,184365,37296,8433,1709,52411,118699,5591076,344372247,569472419
9,5543719,283786,617260,189987,37405,8413,1707,59713,114971,5533794,343658206,563323815
10,5564194,283789,629951,184968,41441,8568,1813,59392,117968,5563152,344513513,566707790
11,5586413,273206,635968,187201,44022,8621,1759,52779,121007,5583487,344316070,569379632
12,5598274,269833,631199,185696,43905,8580,1791,55007,118205,5588724,344563324,569144893
13,5516203,310540,640331,198879,48726,8543,1908,68302,117458,5520132,344325437,566292170
14,5520428,315514,643217,186897,50154,8529,1728,67301,116065,5527109,344493859,562694763
15,5519432,313076,650026,187042,48414,8401,1753,65757,114977,5513408,344355743,563957376
16,5551024,306697,646014,186446,48622,8388,1738,64453,117757,5549715,344501494,565499888
17,6120024,229203,811471,247697,9833,11082,2443,24335,150408,6073411,344637192,524531801
18,5696510,229980,429016,14227,35988,3065,126,48892,58256,5707540,344438020,561681531
19,5684531,203917,408265,15072,35369,2469,113,47455,55409,5680340,344464607,572020876
20,5686069,214386,423515,15107,37169,2920,123,49250,55350,5675783,344603221,568336200
21,5708615,194060,412602,13531,31249,2874,126,44550,56579,5710627,344620748,575462601
22,5606802,211648,412640,13685,35159,2795,197,48812,56683,5619737,343911843,569913637
23,5473740,247792,423844,13584,39041,2639,169,60754,56006,5496086,341781545,562067696
24,5570700,185624,398194,12418,29511,3007,112,38948,58014,5587208,344585880,586606773
25,5612469,182958,383622,13633,27287,2571,115,35701,58973,5585441,343582502,579588193
26,5545178,242631,412895,16258,39386,2661,372,64380,56144,5579086,342849423,566535244
27,5557416,208552,381443,14257,31873,2677,120,46855,57414,5576749,344243447,582444795
28,5559418,205947,375605,14140,28730,3156,134,51233,56015,5546888,344403596,581597510
29,5579396,191079,393175,14047,31522,3110,112,40479,57733,5585147,344468769,584493208
30,5553754,192314,386202,13473,30765,2649,119,41951,56608,5532052,343931325,579128847
31,5604856,206539,394046,13729,26033,2738,100,54690,56914,5560619,344534285,573653742
32,5623646,177539,371394,13484,26715,2674,131,40525,56443,5614832,344398194,587332859
33,5568589,202906,401486,13549,29577,3026,137,50580,57280,5539415,344547020,577996572
34,5604466,206046,426654,13006,32115,2706,114,45113,57302,5591027,344581882,574277648
35,5646210,213534,422761,13485,33732,2785,202,53339,56800,5648658,344397434,576378583
36,5620907,266042,490178,16812,50365,2025,377,60084,58566,5604822,344509729,565654936
37,5605173,268127,499124,13478,48523,1986,124,66414,58649,5590436,344616500,563770237
38,5621587,261167,499207,14337,52145,1784,107,62267,58826,5625173,344609289,564478130
39,5648109,264415,499593,12992,48491,1739,187,61872,59383,5648972,344574221,567881648
40,5620995,259557,499189,15813,53416,2459,112,60890,58499,5626176,344480025,565686281
41,5613408,250482,490994,14776,49986,1964,131,58791,59399,5609815,344464433,568363414
42,5603664,263630,487194,14667,49360,2144,132,65612,59030,5599544,344654878,566748892
43,5581162,257707,492882,13361,50384,3572,172,59728,60276,5574011,344660282,568602827
44,5612748,257089,501963,12889,50361,2634,140,60392,58696,5610739,344627536,568189600
45,5612767,257798,495212,13204,51918,2817,206,61308,59503,5613573,344619990,567641576
46,5494729,266928,487383,13944,52861,2408,136,64399,60068,5477213,344117069,562270729
47,5543998,280414,490352,15206,49656,2670,117,70760,58697,5556575,344391993,563601409
48,5601238,254137,488838,12281,49462,2347,122,60448,59313,5600907,344658568,568581341
49,5578894,263304,494880,20943,51780,1713,243,61677,59038,5549045,344487129,564246994
50,5581298,272766,500021,15819,53241,2331,258,64239,58957,5585005,344374280,565592754
51,5533119,265803,494553,12727,52961,2341,161,65598,59804,5507108,344678691,566735932
52,5590094,274886,494795,14890,50918,2406,123,66593,59680,5592874,344138305,565057913
53,5743411,137654,314428,14004,21820,2455,141,30347,52964,5784280,344352503,594924159
54,5637311,361157,751564,12869,107862,2535,149,21203,53176,5630082,344559069,549033152
55,5250833,648465,1390344,13854,216898,2747,246,219408,69815,5197379,344346410,507019059
56,5355235,606627,1372076,14344,232413,2744,224,182057,78169,5466030,344603702,514833838
57,3615453,2156623,3556272,34906,96941,274608,396,178779,1885798,2968441,344143618,390700199
58,143475,3142234,5182407,49036,28071,729285,44,127228,3517847,104237,344400482,636229255
59,307613,147881,621632,8138,82,127,24,250,2,307819,344548186,1275946991
60,305396,148208,622415,6437,28,89,67,353,3,304508,344276566,1278419918
61,304427,147569,622600,6171,31,101,25,216,2,305484,344504594,1279113850
62,304880,148071,622548,8026,48,76,30,436,2,304832,344209218,1277084150
63,303363,147871,620897,6538,44,92,61,742,7,306588,344212415,1275046169
